Question	Answer	Reference
If a lamb was offered as a peace offering, what specific piece of fat was to be removed?	The whole fat tail, cut off close to the backbone.	Leviticus 3:9
What declaration is made about fat in the law of peace offerings?	All fat is the Lord's.	Leviticus 3:16
What two substances were the Israelites forbidden to eat as a perpetual statute in all their dwelling places?	Fat and blood.	Leviticus 3:17
For what type of sin were the sin offerings in chapter 4 prescribed?	Unintentional sin.	Leviticus 4:2
If the anointed priest sinned, what was he required to offer?	A bull from the herd without blemish to the Lord for a sin offering.	Leviticus 4:3
How many times was the priest to sprinkle the bull's blood before the veil of the sanctuary?	Seven times.	Leviticus 4:6
Where was some of the blood from the priest's sin offering to be placed?	On the horns of the altar of fragrant incense before the Lord.	Leviticus 4:7
Where was the rest of the blood from the priest's bull poured out?	At the base of the altar of burnt offering.	Leviticus 4:7
What was to be done with the skin, flesh, head, legs, entrails, and dung of the priest's sin offering bull?	It was to be carried outside the camp and burned on a fire of wood.	Leviticus 4:11-12
What was the required offering if the whole congregation of Israel sinned unintentionally?	A bull from the herd for a sin offering.	Leviticus 4:14
Who was to lay their hands on the head of the bull for the congregation's sin offering?	The elders of the congregation.	Leviticus 4:15
After the priest made atonement for the congregation's unintentional sin, what was the result?	They shall be forgiven.	Leviticus 4:20
What was the sin offering for a leader who sinned unintentionally?	A male goat without blemish.	Leviticus 4:23
Where was the leader's sin offering to be killed?	In the place where they kill the burnt offering before the Lord.	Leviticus 4:24
Where did the priest put the blood of the leader's sin offering?	On the horns of the altar of burnt offering.	Leviticus 4:25
What was the sin offering for one of the common people who sinned unintentionally?	A female goat without blemish.	Leviticus 4:28
Where was the sin offering for a common person killed?	In the place of burnt offering.	Leviticus 4:29
If a common person brought a lamb for a sin offering, what was the requirement for it?	A female without blemish.	Leviticus 4:32
What is the sin described for a person who hears a public adjuration to testify but does not speak?	He shall bear his iniquity.	Leviticus 5:1
What is the consequence of touching an unclean thing, such as a carcass, if it is hidden from a person who later realizes their guilt?	They must bring a compensation offering.	Leviticus 5:2,6
What must a person do when they realize their guilt after swearing a rash oath?	Confess the sin he has committed.	Leviticus 5:5
What was the standard compensation offering for the sins listed in the beginning of chapter 5?	A female from the flock, a lamb or a goat, for a sin offering.	Leviticus 5:6
If a person could not afford a lamb for their sin, what could they bring instead?	Two turtledoves or two pigeons.	Leviticus 5:7
When two birds were brought as an offering by a poor person, what were they for?	One for a sin offering and the other for a burnt offering.	Leviticus 5:7
Which of the two birds offered by a poor person was to be offered first?	The one for the sin offering.	Leviticus 5:8
If a person could not afford two turtledoves, what was their offering?	A tenth of an ephah of fine flour for a sin offering.	Leviticus 5:11
What two ingredients were to be omitted from a sin offering of fine flour?	No oil and no frankincense.	Leviticus 5:11
Who received the remainder of the fine flour sin offering?	The priest.	Leviticus 5:13
What offering was required for someone who unintentionally sinned regarding the holy things of the Lord?	A ram without blemish out of the flock for a guilt offering.	Leviticus 5:15
In addition to a ram, what else was required for one who sinned unintentionally in holy things?	He shall make restitution and add a fifth to it.	Leviticus 5:16
What was the offering for someone who sinned without knowing it, by doing something the Lord commanded not to be done?	A ram without blemish from the flock for a guilt offering.	Leviticus 5:18
What sins against a neighbor are considered a breach of faith against the Lord?	Deceiving in a matter of deposit or security, robbery, oppression, or lying about a found item.	Leviticus 6:2-3
When making restitution for deceiving a neighbor, what must be added to the full amount?	A fifth.	Leviticus 6:5
According to the law of the burnt offering, how long must it remain on the altar's hearth?	All night until the morning.	Leviticus 6:9
What garments was the priest to wear when taking up the ashes of the burnt offering?	His linen garment and linen undergarment.	Leviticus 6:10
What must the priest do before carrying the ashes outside the camp?	Take off his linen garments and put on other garments.	Leviticus 6:11
What was the perpetual rule concerning the fire on the altar?	The fire on the altar shall be kept burning on it; it shall not go out.	Leviticus 6:12-13
Who was to eat the remainder of the grain offering?	Aaron and his sons.	Leviticus 6:16
Where was the priests' portion of the grain offering to be eaten?	In a holy place, in the court of the tent of meeting.	Leviticus 6:16
What happens to whatever touches the most holy food offerings of the Lord?	It shall become holy.	Leviticus 6:18
What offering was required from Aaron and his sons on the day of their anointing?	A tenth of an ephah of fine flour as a regular grain offering.	Leviticus 6:20
What was the rule for a grain offering made by a priest?	The whole of it shall be burned. It shall not be eaten.	Leviticus 6:23
Where was the sin offering to be killed?	In the place where the burnt offering is killed.	Leviticus 6:25
Who was permitted to eat the sin offering?	The priest who offers it for sin.	Leviticus 6:26
What must be done if blood from the sin offering splatters on a garment?	You shall wash that on which it was splashed in a holy place.	Leviticus 6:27
What must be done to an earthenware pot in which the sin offering was boiled?	It shall be broken.	Leviticus 6:28
What must be done to a bronze pot in which the sin offering was boiled?	It shall be scoured and rinsed in water.	Leviticus 6:28
Under what circumstance was a sin offering forbidden to be eaten?	When any of its blood is brought into the tent of meeting to make atonement in the Holy Place.	Leviticus 6:30
What was the law for both the guilt offering and the sin offering?	There is one law for them.	Leviticus 7:7
Who received the skin of any man's burnt offering?	The priest who offers it.	Leviticus 7:8
Who was entitled to any grain offering baked in an oven or prepared on a pan or griddle?	The priest who offers it.	Leviticus 7:9
How were grain offerings that were mixed with oil or dry to be distributed?	They were to be shared equally among all the sons of Aaron.	Leviticus 7:10
What kind of bread was to be offered with a thanksgiving sacrifice?	Unleavened loaves and wafers with oil, as well as loaves of leavened bread.	Leviticus 7:12-13
Who received one loaf from each thanksgiving offering as a gift to the Lord?	The priest who throws the blood of the peace offerings.	Leviticus 7:14
By when must the flesh of a thanksgiving peace offering be eaten?	On the day of his offering; none shall be left until the morning.	Leviticus 7:15
When could a peace offering that was a vow or freewill offering be eaten?	On the day it is offered and on the next day.	Leviticus 7:16
What was to be done with any flesh from a peace offering remaining on the third day?	It shall be burned up with fire.	Leviticus 7:17
What was the consequence if someone ate the flesh of a peace offering on the third day?	It would not be accepted, it is tainted, and the person shall bear his iniquity.	Leviticus 7:18
What was the rule for any sacrificial flesh that touched an unclean thing?	It shall not be eaten; it shall be burned up with fire.	Leviticus 7:19
What was the penalty for an unclean person who ate from the Lord's peace offerings?	That person shall be cut off from his people.	Leviticus 7:20
The fat of which three animals were the Israelites explicitly forbidden to eat?	Ox, sheep, or goat.	Leviticus 7:23
What was the penalty for a person who ate the fat of an animal from which a food offering could be made?	That person shall be cut off from his people.	Leviticus 7:25
What was the penalty for any person who ate any kind of blood?	That person shall be cut off from his people.	Leviticus 7:27
What two parts of the peace offering were to be brought by the offerer's own hands?	The fat with the breast.	Leviticus 7:30
Which part of the peace offering belonged to Aaron and his sons after the fat was burned?	The breast.	Leviticus 7:31
What part of the peace offering was given to the priest as a contribution?	The right thigh.	Leviticus 7:32
Which two parts of the peace offering were taken from the people of Israel as a perpetual due for the priests?	The breast that is waved and the thigh that is contributed.	Leviticus 7:34
Where did the Lord give the commandments for the offerings to Moses?	On Mount Sinai.	Leviticus 7:38
What items did Moses gather for the ordination of Aaron and his sons?	The garments, anointing oil, a bull for the sin offering, two rams, and a basket of unleavened bread.	Leviticus 8:2
Where did Moses assemble the congregation for the ordination ceremony?	At the entrance of the tent of meeting.	Leviticus 8:3
What was the first ritual action Moses performed on Aaron and his sons?	He washed them with water.	Leviticus 8:6
What two items did Moses place in the breastpiece he put on Aaron?	The Urim and the Thummim.	Leviticus 8:8
What was on the front of Aaron's turban?	The golden plate, the holy crown.	Leviticus 8:9
What did Moses use to anoint and consecrate the tabernacle and everything in it?	The anointing oil.	Leviticus 8:10
How many times did Moses sprinkle anointing oil on the altar?	Seven times.	Leviticus 8:11
Where did Moses pour the anointing oil to consecrate Aaron?	On Aaron's head.	Leviticus 8:12
What was done with the skin, flesh, and dung of the bull for the sin offering during the ordination?	It was burned up with fire outside the camp.	Leviticus 8:17
What was the second ram presented during the ordination ceremony called?	The ram of ordination.	Leviticus 8:22
On which three parts of Aaron's body did Moses place blood from the ram of ordination?	The lobe of his right ear, the thumb of his right hand, and the big toe of his right foot.	Leviticus 8:23
What did Moses place on the pieces of fat and the right thigh from the basket of unleavened bread?	One unleavened loaf, one loaf of bread with oil, and one wafer.	Leviticus 8:26
What was Moses' personal portion of the ram of ordination?	The breast.	Leviticus 8:29
What two substances did Moses sprinkle on Aaron, his sons, and their garments to consecrate them?	Some of the anointing oil and some of the blood that was on the altar.	Leviticus 8:30
Where were Aaron and his sons commanded to boil and eat the ordination offerings?	At the entrance of the tent of meeting.	Leviticus 8:31
For how many days were Aaron and his sons to remain at the entrance of the tent of meeting to complete their ordination?	Seven days.	Leviticus 8:33
What was the penalty if Aaron and his sons failed to remain at the tent of meeting as commanded during their ordination?	They would die.	Leviticus 8:35
On what day after the ordination began did Moses call Aaron and the elders?	On the eighth day.	Leviticus 9:1
What animals was Aaron told to take for his own sin offering and burnt offering?	A bull calf for a sin offering and a ram for a burnt offering.	Leviticus 9:2
What animals were the people of Israel to take for a sin offering and a burnt offering?	A male goat for a sin offering, and a calf and a lamb for a burnt offering.	Leviticus 9:3
What did Moses promise would happen on the day Aaron first offered sacrifices?	"Today the Lord will appear to you."	Leviticus 9:4
What did Moses say would appear to the people if they did what the Lord commanded?	The glory of the Lord.	Leviticus 9:6
What did Aaron do with the flesh and the skin of his personal sin offering?	He burned it up with fire outside the camp.	Leviticus 9:11
What animals did Aaron kill for the people's sacrifice of peace offerings?	The ox and the ram.	Leviticus 9:18
What parts of the peace offering did Aaron wave as a wave offering before the Lord?	The breasts and the right thigh.	Leviticus 9:21
After finishing the offerings, what did Aaron do towards the people?	He lifted up his hands toward the people and blessed them.	Leviticus 9:22
What happened immediately after Moses and Aaron came out of the tent of meeting and blessed the people?	The glory of the Lord appeared to all the people.	Leviticus 9:23
What came from the Lord and consumed the offering on the altar?	Fire.	Leviticus 9:24
What was the people's reaction to seeing the fire from the Lord consume the offering?	They shouted and fell on their faces.	Leviticus 9:24
Who were the two sons of Aaron who offered unauthorized fire to the Lord?	Nadab and Abihu.	Leviticus 10:1
What happened to Nadab and Abihu as a result of their offering?	Fire came out from before the Lord and consumed them, and they died.	Leviticus 10:2
What was Aaron's response after Moses explained why his sons had died?	Aaron held his peace.	Leviticus 10:3
Who did Moses call to carry the bodies of Nadab and Abihu out of the camp?	Mishael and Elzaphan, the sons of Uzziel the uncle of Aaron.	Leviticus 10:4
How were the bodies of Nadab and Abihu carried out of the camp?	In their coats.	Leviticus 10:5
What two signs of mourning were forbidden to Aaron and his surviving sons?	They were not to let the hair of their heads hang loose or tear their clothes.	Leviticus 10:6
Why were Aaron and his sons warned not to leave the tent of meeting to mourn?	Because the anointing oil of the Lord was upon them.	Leviticus 10:7
What were Aaron and his sons commanded not to drink when going into the tent of meeting?	Wine or strong drink.	Leviticus 10:9
What were the priests instructed to distinguish between?	The holy and the common, and between the unclean and the clean.	Leviticus 10:10
What were the priests responsible for teaching the people of Israel?	All the statutes that the Lord has spoken to them by Moses.	Leviticus 10:11
Who were Aaron's surviving sons mentioned by name after the death of Nadab and Abihu?	Eleazar and Ithamar.	Leviticus 10:12
Where were Aaron's family members, including his daughters, allowed to eat their portion of the peace offerings?	In a clean place.	Leviticus 10:14
With whom was Moses angry because the goat of the sin offering had been burned?	Eleazar and Ithamar.	Leviticus 10:16
According to Moses, why should the priests have eaten the sin offering?	So that they may bear the iniquity of the congregation, to make atonement for them.	Leviticus 10:17
Where did Moses say the sin offering should have been eaten?	In the sanctuary.	Leviticus 10:18
What are the two characteristics an animal must have to be considered clean to eat?	It parts the hoof and is cloven-footed, and it chews the cud.	Leviticus 11:3
Why is the camel considered unclean?	Because it chews the cud but does not part the hoof.	Leviticus 11:4
Why is the rock badger considered unclean?	Because it chews the cud but does not part the hoof.	Leviticus 11:5
Why is the hare considered unclean?	Because it chews the cud but does not part the hoof.	Leviticus 11:6
Why is the pig considered unclean?	Because it parts the hoof and is cloven-footed but does not chew the cud.	Leviticus 11:7
What are the two characteristics of a water creature that is clean to eat?	It must have fins and scales.	Leviticus 11:9
What are water creatures without fins and scales considered?	Detestable.	Leviticus 11:10
Name three birds listed as detestable.	(Any three from) the eagle, the bearded vulture, the black vulture, the kite, the falcon, any raven, the ostrich, the nighthawk, the sea gull, the hawk.	Leviticus 11:13-16
Which flying animal listed among the birds is a mammal?	The bat.	Leviticus 11:19
Winged insects that go on all fours are detestable, except for which kind?	Those that have jointed legs above their feet, with which to hop on the ground.	Leviticus 11:21
Name two types of edible hopping insects.	(Any two from) the locust, the bald locust, the cricket, the grasshopper.	Leviticus 11:22
Until when is a person who touches the carcass of an unclean animal considered unclean?	Until the evening.	Leviticus 11:24
What must a person who carries part of an unclean animal's carcass do?	Wash his clothes and be unclean until the evening.	Leviticus 11:25
Animals that walk on what feature are considered unclean?	Their paws.	Leviticus 11:27
Name three swarming things on the ground that are considered unclean.	(Any three from) the mole rat, the mouse, the great lizard, the gecko, the monitor lizard, the lizard, the sand lizard, the chameleon.	Leviticus 11:29-30
What must be done to an article of wood, a garment, a skin, or a sack that is touched by a dead swarming thing?	It must be put into water and remains unclean until the evening.	Leviticus 11:32
What must be done to an earthenware vessel if a dead swarming thing falls into it?	You shall break it.	Leviticus 11:33
What must be done to an oven or a stove if a part of an unclean carcass falls on it?	It shall be broken in pieces.	Leviticus 11:35
What place holding water remains clean even if a carcass falls into it?	A spring or a cistern.	Leviticus 11:36
Under what condition does seed grain become unclean if a carcass falls on it?	If water is put on the seed.	Leviticus 11:38
What must a person who eats from the carcass of a clean animal that died on its own do?	Wash his clothes and be unclean until the evening.	Leviticus 11:40
What types of swarming things are considered detestable and not to be eaten?	Whatever goes on its belly, on all fours, or has many feet.	Leviticus 11:42
Why were the Israelites commanded to be holy?	Because the Lord their God is holy.	Leviticus 11:44
For what purpose did the Lord bring the Israelites out of Egypt?	To be their God.	Leviticus 11:45
What is the stated purpose for the laws distinguishing between clean and unclean animals?	To make a distinction between the unclean and the clean, and between the creature that may be eaten and the one that may not.	Leviticus 11:47
For how many days is a woman unclean after giving birth to a male child?	Seven days.	Leviticus 12:2
On what day is a male child to be circumcised?	On the eighth day.	Leviticus 12:3
After the initial seven days of uncleanness for a son, how long must a woman wait in the blood of her purifying?	Thirty-three days.	Leviticus 12:4
For how many weeks is a woman unclean after giving birth to a female child?	Two weeks.	Leviticus 12:5
After the initial two weeks of uncleanness for a daughter, how long must a woman wait in the blood of her purifying?	Sixty-six days.	Leviticus 12:5
What offerings must a woman bring after her days of purifying are complete?	A lamb for a burnt offering and a pigeon or turtledove for a sin offering.	Leviticus 12:6
If a new mother cannot afford a lamb, what can she bring as her offering?	Two turtledoves or two pigeons.	Leviticus 12:8
Who was to examine a person with a swelling, eruption, or spot on their skin?	Aaron the priest or one of his sons the priests.	Leviticus 13:2
What were two signs that a skin disease was leprous?	The hair in the area turned white and the disease appeared deeper than the skin.	Leviticus 13:3
If a skin spot was white but not deep and the hair had not turned white, what was the priest to do?	Shut up the diseased person for seven days.	Leviticus 13:4
If after seven days the disease was checked and had not spread, what was the next step?	The priest shall shut him up for another seven days.	Leviticus 13:5
If a disease breaks out and covers a person's entire body from head to foot with white skin, what is the priest's diagnosis?	He shall pronounce him clean of the disease.	Leviticus 13:13
What is the diagnosis if raw flesh appears on a person with a leprous disease?	He shall be unclean.	Leviticus 13:14
If a white swelling or reddish-white spot appears in the place of a healed boil, and the hair has turned white, what is it?	A case of leprous disease.	Leviticus 13:20
If a burn on the skin develops a reddish-white spot that is deeper than the skin and has white hair, what is it?	A leprous disease.	Leviticus 13:25
What color hair in a scalp or beard itch indicated a leprous disease?	Yellow and thin.	Leviticus 13:30
If a person had an itching disease, what part were they instructed not to shave?	The itch itself.	Leviticus 13:33
If a man is bald on the back of his head, is he clean or unclean?	He is clean.	Leviticus 13:40
If a reddish-white diseased area appears on a bald head or forehead, what is it?	A leprous disease.	Leviticus 13:42
What two things must a person with a leprous disease do with their clothing and hair?	Wear torn clothes and let the hair of his head hang loose.	Leviticus 13:45
What must a leprous person cover and what must they cry out?	Cover his upper lip and cry out, 'Unclean, unclean.'	Leviticus 13:45
Where must a person with a leprous disease live?	Alone; his dwelling shall be outside the camp.	Leviticus 13:46
What colors in a woolen or linen garment could indicate a leprous disease?	Greenish or reddish.	Leviticus 13:49
What must be done with a garment confirmed to have a persistent leprous disease?	It shall be burned in the fire.	Leviticus 13:52
If a leprous disease in a garment fades after being washed, what must the priest do?	Tear it out of the garment.	Leviticus 13:56
After a garment is washed and the disease is gone, what is the final step for it to be clean?	It shall be washed a second time.	Leviticus 13:58
For the cleansing of a leprous person, what four items were to be taken?	Two live clean birds, cedarwood, scarlet yarn, and hyssop.	Leviticus 14:4
What was done with the two birds in the cleansing ritual for leprosy?	One was killed over fresh water, and the live one was dipped in its blood and let go.	Leviticus 14:5-7
How many times was the blood of the bird sprinkled on the person being cleansed from leprosy?	Seven times.	Leviticus 14:7
What did the person being cleansed have to do after being pronounced clean?	Wash his clothes, shave off all his hair, and bathe himself in water.	Leviticus 14:8
Where did the cleansed person have to live for seven days after coming into the camp?	Outside his tent.	Leviticus 14:8
On the seventh day of his cleansing, what hair did the person have to shave off?	All his hair from his head, his beard, and his eyebrows.	Leviticus 14:9
What animals did a cleansed leper offer on the eighth day?	Two male lambs without blemish, and one ewe lamb a year old without blemish.	Leviticus 14:10
What was the grain offering for a cleansed leper on the eighth day?	Three-tenths of an ephah of fine flour mixed with oil, and one log of oil.	Leviticus 14:10
On which three body parts of the cleansed leper did the priest put blood from the guilt offering?	The lobe of the right ear, the thumb of his right hand, and the big toe of his right foot.	Leviticus 14:14
After applying blood, what did the priest put on the same three body parts of the cleansed leper?	Some of the oil.	Leviticus 14:17
Where was the rest of the oil from the cleansing ceremony placed?	On the head of him who is to be cleansed.	Leviticus 14:18
If a cleansed leper was poor, what was his guilt offering?	One male lamb.	Leviticus 14:21
What was the grain offering for a poor person cleansed of leprosy?	A tenth of an ephah of fine flour mixed with oil.	Leviticus 14:21
What could a poor cleansed leper bring instead of lambs for the sin and burnt offerings?	Two turtledoves or two pigeons.	Leviticus 14:22
When would the Lord put a case of leprous disease in a house?	When the Israelites come into the land of Canaan.	Leviticus 14:34
What was the first step a priest took when told of a possible disease in a house?	Command that they empty the house.	Leviticus 14:36
What colors in the walls of a house indicated a leprous disease?	Greenish or reddish spots.	Leviticus 14:37
If a house disease was found, how long was the house to be shut up?	Seven days.	Leviticus 14:38
If the disease in a house spread, what was to be done with the infected stones?	They were to be taken out and thrown into an unclean place outside the city.	Leviticus 14:40
What was to be done to the inside of the house if the stones were removed?	It was to be scraped all around.	Leviticus 14:41
If the leprous disease broke out again in a house after it was repaired, what was the house considered?	Unclean, with a persistent leprous disease.	Leviticus 14:44
What was the fate of a house with a persistent leprous disease?	It shall be broken down, and its materials carried out of the city.	Leviticus 14:45
Anyone who enters a house while it is shut up for a leprous disease is unclean until when?	The evening.	Leviticus 14:46
What items were used for the cleansing ritual of a house?	Two small birds, cedarwood, scarlet yarn, and hyssop.	Leviticus 14:49
How was a house cleansed from a leprous disease?	It was sprinkled seven times with the blood of a bird killed over fresh water.	Leviticus 14:51
What was done with the live bird in the house cleansing ritual?	It was let go out of the city into the open country.	Leviticus 14:53
A man with a discharge from his body is considered what?	Unclean.	Leviticus 15:2
What happens to a bed on which a man with a discharge lies?	It shall be unclean.	Leviticus 15:4
What must a person do if they touch the bed of a man with a discharge?	Wash his clothes, bathe in water, and be unclean until the evening.	Leviticus 15:5
What must a clean person do if a man with a discharge spits on him?	Wash his clothes, bathe in water, and be unclean until the evening.	Leviticus 15:8
What must be done to an earthenware vessel touched by a man with a discharge?	It shall be broken.	Leviticus 15:12
What must be done to a wooden vessel touched by a man with a discharge?	It shall be rinsed in water.	Leviticus 15:12
After a man is cleansed of his discharge, how many days must he count for his cleansing?	Seven days.	Leviticus 15:13
What offering does a man bring on the eighth day after being cleansed of a discharge?	Two turtledoves or two pigeons.	Leviticus 15:14
What must a man do after an emission of semen?	Bathe his whole body in water and be unclean until the evening.	Leviticus 15:16
For how long is a woman in her menstrual impurity?	Seven days.	Leviticus 15:19
What is the consequence for a man who lies with a woman during her menstrual impurity?	He shall be unclean seven days, and every bed on which he lies shall be unclean.	Leviticus 15:24
If a woman has a discharge of blood outside of her normal period, how long is she unclean?	For all the days of the discharge.	Leviticus 15:25
After a woman is cleansed of an abnormal discharge, how many days must she count before she is clean?	Seven days.	Leviticus 15:28
What offering does a woman bring on the eighth day after being cleansed of an unclean discharge?	Two turtledoves or two pigeons.	Leviticus 15:29
Why must the people of Israel be kept separate from their uncleanness?	Lest they die in their uncleanness by defiling the tabernacle.	Leviticus 15:31
After whose death did the Lord speak to Moses in chapter 16?	After the death of the two sons of Aaron.	Leviticus 16:1
Whom did the Lord warn not to come at any time into the Holy Place inside the veil?	Aaron.	Leviticus 16:2
Where did the Lord say He would appear?	In the cloud over the mercy seat.	Leviticus 16:2
What animals was Aaron to bring for himself to enter the Holy Place?	A bull from the herd for a sin offering and a ram for a burnt offering.	Leviticus 16:3
What type of garments was Aaron to wear on the Day of Atonement?	Holy linen garments.	Leviticus 16:4
What animals was Aaron to take from the congregation for the Day of Atonement?	Two male goats for a sin offering and one ram for a burnt offering.	Leviticus 16:5
What was to be done with the two goats before one was chosen?	Aaron shall cast lots over them.	Leviticus 16:8
What were the two lots for the goats?	One lot for the Lord and the other lot for Azazel.	Leviticus 16:8
What was to be done with the goat on which the lot for the Lord fell?	It was to be used as a sin offering.	Leviticus 16:9
What was to be done with the goat on which the lot for Azazel fell?	It was to be presented alive and sent away into the wilderness.	Leviticus 16:10
What did Aaron have to bring inside the veil along with the censer of coals?	Two handfuls of sweet incense beaten small.	Leviticus 16:12
What was the purpose of the cloud of incense before the mercy seat?	So that he does not die.	Leviticus 16:13
How many times did Aaron sprinkle the bull's blood in front of the mercy seat?	Seven times.	Leviticus 16:14
After killing the people's sin offering goat, where did Aaron bring its blood?	Inside the veil.	Leviticus 16:15
What did Aaron do with his hands on the head of the live goat?	He laid both his hands on its head.	Leviticus 16:21
What did Aaron do while his hands were on the live goat's head?	He confessed over it all the iniquities and transgressions of the people of Israel.	Leviticus 16:21
What did the live goat bear on itself into the wilderness?	All their iniquities.	Leviticus 16:22
What was the man who let the goat go to Azazel required to do before re-entering the camp?	Wash his clothes and bathe his body in water.	Leviticus 16:26
What was done with the bull and goat whose blood was brought into the Holy Place?	They were carried outside the camp and their skin, flesh, and dung were burned.	Leviticus 16:27
On what day was the Day of Atonement to be observed?	In the seventh month, on the tenth day of the month.	Leviticus 16:29
What were the people required to do on the Day of Atonement?	Afflict themselves and do no work.	Leviticus 16:29
How is the Day of Atonement described?	A Sabbath of solemn rest.	Leviticus 16:31
How often was atonement to be made for the people of Israel?	Once in the year.	Leviticus 16:34
If an Israelite killed an ox, lamb, or goat and did not bring it to the tent of meeting, what was the consequence?	Bloodguilt shall be imputed to that man, and he shall be cut off.	Leviticus 17:4
To whom were the Israelites forbidden to sacrifice anymore?	To goat demons.	Leviticus 17:7
What was the penalty for anyone who offered a burnt offering or sacrifice but did not bring it to the entrance of the tent of meeting?	That man shall be cut off from his people.	Leviticus 17:9
What was the Lord's stated penalty against any person who eats blood?	I will set my face against that person... and will cut him off.	Leviticus 17:10
Why is blood sacred and given for use on the altar?	For the life of the flesh is in the blood, and it is the blood that makes atonement by the life.	Leviticus 17:11
The people of Israel were told not to live like the people of which two lands?	Egypt and Canaan.	Leviticus 18:3
What is the promised result for a person who keeps the Lord's statutes and rules?	He shall live by them.	Leviticus 18:5
Uncovering the nakedness of your father's wife is forbidden because it is whose nakedness?	Your father's nakedness.	Leviticus 18:8
To whom is a man's son's daughter's or daughter's daughter's nakedness compared?	His own nakedness.	Leviticus 18:10
What is the relationship of a man to his father's wife's daughter?	She is your sister.	Leviticus 18:11
Uncovering the nakedness of a woman and her daughter is described as what?	Depravity.	Leviticus 18:17
When is a man forbidden to take a woman as a rival wife to her sister?	While her sister is still alive.	Leviticus 18:18
To which false god were the Israelites forbidden to give their children?	Molech.	Leviticus 18:21
Lying with a male as with a woman is called what?	An abomination.	Leviticus 18:22
A woman giving herself to an animal to lie with it is called what?	Perversion.	Leviticus 18:23
What did the land do to the nations who committed these abominations before Israel?	The land vomited out its inhabitants.	Leviticus 18:25
What warning is given to the Israelites if they make the land unclean?	Lest the land vomit you out.	Leviticus 18:28
