Question	Answer	Reference
What did Jesus do in the synagogue at Nazareth that caused the people to be filled with wrath?	He said no prophet is acceptable in his hometown and cited examples of God's favor to Gentiles (the widow of Zarephath and Naaman the Syrian).	Luke 4:24-28
What did the people in the synagogue at Nazareth try to do to Jesus after he spoke?	They drove him out of town to throw him down a cliff.	Luke 4:29
In the parable of the soils, what do the thorns that choke the seed represent?	The cares of the world and the deceitfulness of riches.	Matthew 13:22
What did Jesus' disciples ask him after he told the parable of the soils?	"Why do you speak to them in parables?"	Matthew 13:10
In the parable of the weeds, when are the weeds separated from the wheat?	At the harvest, which is the end of the age.	Matthew 13:30, 39
Who did Jesus say were the reapers in the parable of the weeds?	The angels	Matthew 13:39
According to the parable of the net, what happens to the bad fish that are caught?	They are thrown away.	Matthew 13:48
What was the name of the demoniac in the country of the Gerasenes who lived among the tombs?	Legion	Mark 5:9
How many pigs were in the herd that the demons entered and rushed into the sea?	About two thousand	Mark 5:13
What did the woman with the issue of blood do to be healed?	She came up behind him in the crowd and touched his garment.	Mark 5:27
What did Jesus say to the ruler of the synagogue, Jairus, when he was told his daughter had died?	"Do not fear, only believe."	Mark 5:36
What did Jesus say was the reason the disciples could not cast out the demon from the boy with seizures?	Because of their "little faith"	Matthew 17:20
In the parable of the lost sheep, what does the shepherd do when he finds the one lost sheep?	He lays it on his shoulders, rejoicing.	Luke 15:5
What did the seventy-two disciples joyfully exclaim upon their return to Jesus?	"Lord, even the demons are subject to us in your name!"	Luke 10:17
In the parable of the Good Samaritan, where was the man traveling from and to when he was attacked by robbers?	From Jerusalem to Jericho	Luke 10:30
What excuse did the second person invited to the great banquet give?	"I have bought five yoke of oxen, and I go to examine them. Please have me excused."	Luke 14:19
How did the dishonest manager ensure he would be welcomed into people's houses after being fired?	He reduced the debts they owed to his master.	Luke 16:4-7
What did the rich man in Hades ask Abraham to send Lazarus to do?	Dip the end of his finger in water to cool his tongue.	Luke 16:24
What did Jesus say it is easier for than for one dot of the Law to become void?	For heaven and earth to pass away	Luke 17:17
What was the request of the ten lepers who met Jesus?	"Jesus, Master, have mercy on us."	Luke 17:13
What question did the Pharisees ask Jesus concerning the kingdom of God?	When the kingdom of God would come.	Luke 17:20
What did the Pharisee in the parable pray in the temple?	"God, I thank you that I am not like other men, extortioners, unjust, adulterers, or even like this tax collector."	Luke 18:11
What did the tax collector in the parable do while praying in the temple?	He stood far off, would not lift up his eyes to heaven, but beat his breast.	Luke 18:13
What did the disciples say to Jesus regarding his teaching on divorce?	"If such is the case of a man with his wife, it is better not to marry."	Matthew 19:10
Why did the rich young ruler go away sorrowful?	For he had great possessions.	Matthew 19:22
What was the final question the disciples asked after Jesus spoke about the difficulty for the rich to be saved?	"Who then can be saved?"	Matthew 19:25
What was the complaint of the laborers who were hired first in the parable?	That the last laborers, who worked only one hour, were made equal to them.	Matthew 20:12
What did the two blind men near Jericho cry out to Jesus?	"Lord, have mercy on us, Son of David!"	Matthew 20:30
Why couldn't Zacchaeus see Jesus?	Because he was small in stature and the crowd was in the way.	Luke 19:3
What did the wicked servant in the parable of the minas do with his mina?	He kept it laid away in a handkerchief.	Luke 19:20
Why did the chief priests want to put Lazarus to death?	Because on account of him many of the Jews were going away and believing in Jesus.	John 12:10-11
What was Jesus' instruction to the disciples about the donkey and colt they were to find?	"If anyone says anything to you, you shall say, 'The Lord needs them,' and he will send them at once."	Matthew 21:3
What did the children in the temple cry out, which made the chief priests indignant?	"Hosanna to the Son of David!"	Matthew 21:15
After Jesus cursed the fig tree, what did Peter say to him the next morning?	"Rabbi, look! The fig tree that you cursed has withered."	Mark 11:21
What did Jesus say to Philip and Andrew when the Greeks asked to see him?	"The hour has come for the Son of Man to be glorified."	John 12:23
What did Jesus say a person must do if they want to serve him?	They must follow him.	John 12:26
When a voice came from heaven, what did the crowd think had happened?	Some said it had thundered; others said an angel had spoken to him.	John 12:29
Why did the chief priests and Pharisees fear the crowds, preventing them from arresting Jesus?	Because the crowds held him to be a prophet.	Matthew 21:46
In the parable of the wedding feast, what was the king's reaction when the man had no wedding garment?	He ordered him to be bound hand and foot and cast into the outer darkness.	Matthew 22:12-13
What question did Jesus ask the Pharisees concerning the Christ?	"Whose son is he?"	Matthew 22:42
According to Jesus, who loves the place of honor at feasts and the best seats in the synagogues?	The scribes and Pharisees	Matthew 23:6
What did the poor widow put into the treasury?	Two small copper coins, which make a penny.	Mark 12:42
In the Olivet Discourse, Jesus said that the gospel must first be proclaimed to whom?	All nations	Mark 13:10
When will the abomination of desolation, spoken of by Daniel, be seen standing in the holy place?	During a time of great tribulation before the coming of the Son of Man.	Matthew 24:15, 21
What does Jesus say will happen immediately after the tribulation of those days?	The sun will be darkened, the moon will not give its light, and the stars will fall from heaven.	Matthew 24:29
In the parable of the talents, why was the servant with one talent called wicked and slothful?	Because he was afraid and hid his master's money instead of investing it.	Matthew 25:24-26
What will the King say to those on his left at the judgment?	"Depart from me, you cursed, into the eternal fire prepared for the devil and his angels."	Matthew 25:41
Where was Mary when she anointed Jesus with expensive ointment?	At a dinner in Bethany.	John 12:2-3
Why did Judas object to the anointing of Jesus, according to John?	Not because he cared for the poor, but because he was a thief and used to take from the moneybag.	John 12:6
When Jesus sent Peter and John to prepare the Passover, what were they to say to the master of the house?	"The Teacher says to you, Where is the guest room, where I may eat the Passover with my disciples?"	Luke 22:11
What did Jesus say about the cup after supper, when instituting the new covenant?	"This cup that is poured out for you is the new covenant in my blood."	Luke 22:20
What did Jesus say would be fulfilled, about being "numbered with the transgressors"?	He told his disciples to buy swords.	Luke 22:36-37
How did Judas know the location of the garden of Gethsemane?	Because Jesus often met there with his disciples.	John 18:2
What happened to the band of soldiers and officers when Jesus said "I am he"?	They drew back and fell to the ground.	John 18:6
What was Peter's response to the servant girl who asked if he was one of Jesus' disciples?	"I am not."	John 18:17
What reason did Judas give for returning the thirty pieces of silver?	"I have sinned by betraying innocent blood."	Matthew 27:4
Who did the crowd persuade to ask for Barabbas and destroy Jesus?	The chief priests and the elders	Matthew 27:20
What did the Roman soldiers do with Jesus' garments after crucifying him?	They divided them into four parts, one for each soldier.	John 19:23
What was unique about Jesus' tunic, and what did the soldiers do with it?	It was seamless, woven in one piece, so they cast lots for it.	John 19:23-24
Who was standing by the cross of Jesus?	His mother, his mother’s sister, Mary the wife of Clopas, and Mary Magdalene.	John 19:25
After Jesus' death, what did the centurion say in Luke's account?	"Certainly this man was innocent!"	Luke 23:47
What did the crowds who had assembled for the crucifixion do as they returned home?	They returned home beating their breasts.	Luke 23:48
Who was the respected member of the council who asked Pilate for Jesus' body?	Joseph of Arimathea	Mark 15:43
What did the angel at the tomb tell the women about Jesus' location?	"He is not here, for he has risen"	Matthew 28:6
To whom did the women report the angel's message?	His disciples	Matthew 28:8
After hearing the women's report, which disciple ran to the tomb, stooped, and saw the linen cloths by themselves?	Peter	Luke 24:12
What did the risen Jesus say to the other women who met him as they were going to tell the disciples?	"Greetings!"	Matthew 28:9
What did Jesus say to Thomas, who had doubted?	"Put your finger here, and see my hands; and put out your hand, and place it in my side. Do not disbelieve, but believe."	John 20:27
At the Sea of Tiberias, what did the disciples have for breakfast with Jesus?	Charcoal-broiled fish and bread	John 21:9
What question did Peter ask Jesus about the disciple whom Jesus loved?	"Lord, what about this man?"	John 21:21
In the Great Commission, in whose name are the disciples to baptize?	In the name of the Father and of the Son and of the Holy Spirit	Matthew 28:19
How long did Jesus promise to be with his disciples?	"always, to the end of the age"	Matthew 28:20
Where was the risen Lord taken up into heaven from?	Near Bethany	Luke 24:50-51
What was the disciples' reaction to Jesus' ascension?	They worshiped him and returned to Jerusalem with great joy.	Luke 24:52
How many generations were there from the deportation to Babylon to the Christ?	Fourteen generations	Matthew 1:17
What was the name of Zechariah's wife?	Elizabeth	Luke 1:5
What division of priests did Zechariah belong to?	The division of Abijah	Luke 1:5
What did the angel tell Zechariah his son John must not drink?	Wine or strong drink	Luke 1:15
The angel told Zechariah that John would go before the Lord in the spirit and power of which prophet?	Elijah	Luke 1:17
How many months pregnant was Elizabeth when the angel Gabriel spoke to Mary?	Six months	Luke 1:36
What did Mary say in her song of joy that the mighty has done for her?	"great things"	Luke 1:49
Where was John the Baptist until the day of his public appearance to Israel?	In the wilderness	Luke 1:80
To what town in Judea did Joseph and Mary travel for the registration?	Bethlehem	Luke 2:4
What was the first thing the shepherds did after the angels departed?	They said to one another, "Let us go over to Bethlehem and see this thing that has happened..."	Luke 2:15
How did Simeon come into the temple to see the child Jesus?	In the Spirit	Luke 2:27
What did Simeon say his eyes had seen?	"your salvation"	Luke 2:30
How old was the prophetess Anna?	Eighty-four	Luke 2:37
From where did the wise men come?	The east	Matthew 2:1
What did Herod secretly ask the wise men?	What time the star had appeared.	Matthew 2:7
What guided the wise men to the house where Jesus was?	The star that they had seen when it rose.	Matthew 2:9
To which district did Joseph withdraw after being warned in a dream not to return to Judea?	Galilee	Matthew 2:22
What did Jesus' parents do every year at the Feast of the Passover?	They went to Jerusalem.	Luke 2:41
What was Jesus doing in the temple when his parents found him?	Sitting among the teachers, listening to them and asking them questions.	Luke 2:46
What was Jesus' answer to his mother when she asked why he had stayed behind in Jerusalem?	"Why were you looking for me? Did you not know that I must be in my Father's house?"	Luke 2:49
What did John the Baptist preach in the wilderness of Judea?	"Repent, for the kingdom of heaven is at hand."	Matthew 3:2
What did the crowds ask John the Baptist after he called them a brood of vipers?	"What then shall we do?"	Luke 3:10
What did John the Baptist tell the soldiers to be content with?	Their wages	Luke 3:14
What was John the Baptist's response when the people wondered if he might be the Christ?	He said one mightier than he was coming, whose sandals he was not worthy to untie.	Luke 3:15-16
What did Jesus say to John when John tried to prevent him from being baptized?	"Let it be so now, for thus it is fitting for us to fulfill all righteousness."	Matthew 3:15
What did Jesus eat during his forty days in the wilderness?	Nothing	Luke 4:2
What did the devil show Jesus from a very high mountain?	All the kingdoms of the world and their glory.	Matthew 4:8
What did angels do for Jesus after the devil left him in the wilderness?	They came and were ministering to him.	Matthew 4:11
When the Jews sent priests and Levites to John, what did he confess?	"I am not the Christ."	John 1:20
What did Philip say to Nathanael?	"We have found him of whom Moses in the Law and also the prophets wrote, Jesus of Nazareth, the son of Joseph."	John 1:45
Who told the servants at the wedding in Cana, "Do whatever he tells you"?	Jesus' mother	John 2:5
What did the master of the feast say to the bridegroom after tasting the water that had become wine?	"Everyone serves the good wine first... But you have kept the good wine until now."	John 2:10
Where did Jesus go with his mother, brothers, and disciples for a few days after the wedding at Cana?	Capernaum	John 2:12
What did Jesus' disciples remember was written after he cleansed the temple?	"Zeal for your house will consume me."	John 2:17
What did the Jews ask Jesus after he cleansed the temple?	"What sign do you show us for doing these things?"	John 2:18
How long did the Jews say it took to build the temple?	Forty-six years	John 2:20
What did Jesus say must happen to the Son of Man, just as Moses lifted up the serpent in the wilderness?	He must be lifted up.	John 3:14
What did John the Baptist's disciples dispute with a Jew about?	Purification	John 3:25
Who did John the Baptist say has the bride?	The bridegroom	John 3:29
What official's son did Jesus heal from a distance?	An official at Capernaum.	John 4:46-47
What was Simon Peter's response when Jesus asked him to put out his nets for a catch?	"Master, we toiled all night and took nothing! But at your word I will let down the nets."	Luke 5:5
What happened to the nets after the miraculous catch of fish?	They were breaking.	Luke 5:6
What did Jesus say to Simon Peter after the great catch of fish?	"Do not be afraid; from now on you will be catching men."	Luke 5:10
What did the leper say to Jesus, showing his faith in Jesus' ability to heal?	"Lord, if you will, you can make me clean."	Matthew 8:2
Where did Jesus find Matthew (Levi) sitting when he called him?	At the tax booth	Matthew 9:9
What question did the disciples of John ask Jesus about fasting?	"Why do we and the Pharisees fast, but your disciples do not fast?"	Matthew 9:14
On what day did Jesus heal the invalid at the pool of Bethesda?	The Sabbath	John 5:9
What did Jesus tell the man he had healed at the temple afterward?	"See, you are well! Sin no more, that nothing worse may happen to you."	John 5:14
When the disciples plucked grain on the Sabbath, what did Jesus say he desired, not sacrifice?	Mercy	Matthew 12:7
What was the reaction of the scribes and Pharisees in the synagogue when Jesus healed the man with the withered hand?	They were filled with fury and discussed with one another what they might do to Jesus.	Luke 6:11
After large crowds followed him, what did Jesus tell his disciples to have ready for him?	A boat	Mark 3:9
Where did Jesus preach the Sermon on the Mount, according to Matthew?	On a mountain	Matthew 5:1
What does Jesus say about those who are persecuted for righteousness' sake?	"theirs is the kingdom of heaven"	Matthew 5:10
What does Jesus say will happen to a city set on a hill?	It cannot be hidden.	Matthew 5:14
Jesus said not to swear by your head for what reason?	Because you cannot make one hair white or black.	Matthew 5:36
What did Jesus say to do for those who curse you?	Bless them	Luke 6:28
What is the first petition in the Lord's Prayer as recorded in Matthew?	"Our Father in heaven, hallowed be your name."	Matthew 6:9
What analogy does Jesus use to describe someone who hears his words and does them?	A wise man who built his house on the rock.	Matthew 5:24
Who did the centurion send to Jesus first to ask him to heal his servant?	Elders of the Jews	Luke 7:3
What did the woman who anointed Jesus' feet do with her hair?	She wiped his feet with it.	Luke 7:38
To whom did Jesus compare the people of his generation who rejected both John and himself?	Children sitting in the marketplace	Luke 7:31-32
Who did Jesus say would rise up at the judgment and condemn the generation that rejected him?	The men of Nineveh and the queen of the South	Matthew 12:41-42
In the parable of the soils, what happened to the seed sown along the path?	The birds came and devoured it.	Matthew 13:4
In the explanation of the parable of the soils, who snatches away the word sown in the heart?	The evil one	Matthew 13:19
How did the disciples react to Jesus' teaching in parables in his hometown?	They took offense at him.	Matthew 13:57
How many brothers of Jesus are named in the gospel of Matthew?	Four (James, Joseph, Simon, and Judas)	Matthew 13:55
What did Herod's daughter do to please him at his birthday feast?	She danced before the company.	Matthew 14:6
How many men did Jesus feed with five loaves and two fish, besides women and children?	About five thousand	Matthew 14:21
After dismissing the crowds, where did Jesus go by himself to pray?	Up on the mountain	Matthew 14:23
What was the disciples' reaction when Peter walked on the water and then began to sink?	Those in the boat worshiped him, saying, "Truly you are the Son of God."	Matthew 14:33
What did the Pharisees use to make void the word of God?	Their tradition	Matthew 15:6
What food-related question did Peter ask Jesus to explain?	The parable about what defiles a person.	Matthew 15:15
How many baskets of broken pieces were collected after feeding the four thousand?	Seven	Mark 8:8
After feeding the four thousand, to what district did Jesus and his disciples go?	Dalmanutha	Mark 8:10
What did Jesus do when the Pharisees asked for a sign from heaven?	He sighed deeply in his spirit.	Mark 8:12
What did the disciples discuss in the boat that revealed their misunderstanding of Jesus' warning about leaven?	The fact that they had no bread.	Mark 8:16
After Peter's confession, what did Jesus begin to teach his disciples plainly?	That the Son of Man must suffer many things, be rejected, be killed, and after three days rise again.	Mark 8:31
What did Jesus say it would profit a man nothing to gain if he forfeits his soul?	The whole world	Mark 8:36
What did Peter suggest they do at the Transfiguration?	Make three tents: one for Jesus, one for Moses, and one for Elijah.	Matthew 17:4
According to Jesus, this kind of demon can only be driven out by what?	Prayer	Mark 9:29
When Peter and Jesus needed to pay the temple tax, where did Jesus say Peter would find the money?	In the mouth of the first fish he caught.	Matthew 17:27
What did John say to Jesus when he saw someone casting out demons who was not part of their group?	"Teacher, we saw someone casting out demons in your name, and we tried to stop him, because he was not following us."	Mark 9:38
In the parable of the unforgiving servant, what did the king do when the first servant could not pay?	He ordered him, his wife, children, and all he had to be sold.	Matthew 18:25
What was the unforgiving servant's reaction to his fellow servant who owed him a smaller debt?	He seized him, choked him, and had him put in prison.	Matthew 18:28, 30
In what village were James and John when they wanted to call down fire from heaven?	A village of the Samaritans	Luke 9:52-54
What did Jesus say to the man who wanted to first say farewell to his home before following him?	"No one who puts his hand to the plow and looks back is fit for the kingdom of God."	Luke 9:62
When the seventy-two returned, what did Jesus thank the Father for hiding from the wise and revealing to little children?	"these things" (referring to the spiritual authority and truths)	Luke 10:21
In the Lord's Prayer, what do we ask for forgiveness for?	Our sins/debts	Luke 11:4
When Jesus cast out a demon that was mute, what was the immediate result?	The mute man spoke, and the people marveled.	Luke 11:14
What was the first thing the Pharisee who invited Jesus to dine was astonished to see?	That Jesus did not first wash before dinner.	Luke 11:38
What did Jesus say the lawyers do with burdens?	They load people with burdens hard to bear, but do not touch the burdens themselves.	Luke 11:46
What did Jesus say would happen to the person who denies him before men?	He will be denied before the angels of God.	Luke 12:9
To whom did Jesus tell the parable of the rich fool?	The crowd, after a man asked him to settle an inheritance dispute.	Luke 12:13, 16
What did the vinedresser in the parable of the barren fig tree ask for?	To let the tree alone for one more year.	Luke 13:8
What did the ruler of the synagogue say to the people after Jesus healed the bent-over woman?	"There are six days in which work ought to be done. Come on those days and be healed, and not on the Sabbath day."	Luke 13:14
At the Feast of Dedication, what did the Jews ask Jesus to tell them plainly?	If he was the Christ.	John 10:24
When Jesus was asked if few would be saved, what did he tell people to do?	"Strive to enter through the narrow door."	Luke 13:24
What did Jesus say about those who ate and drank in his presence but were workers of evil?	"Depart from me, all you workers of evil!"	Luke 13:27
Who warned Jesus that Herod wanted to kill him?	Some Pharisees	Luke 13:31
What question did Jesus ask the lawyers and Pharisees before healing the man with dropsy?	"Is it lawful to heal on the Sabbath, or not?"	Luke 14:3
In the parable of the great banquet, who did the servant say there was still room for?	More guests, after bringing in the poor and crippled from the city.	Luke 14:22
What did Jesus compare salt to when talking about the cost of discipleship?	A disciple who does not renounce all he has. If salt loses its taste, it is useless.	Luke 14:33-35
What did the younger son in the parable long to eat in the far country?	The pods that the pigs ate.	Luke 15:16
What did the older son complain that his father had never given him?	A young goat, that he might celebrate with his friends.	Luke 15:29
What did Jesus say would happen if someone sins against you seven times in a day and repents each time?	You must forgive him.	Luke 17:4
What was Martha's response when Jesus told her that her brother would rise again?	"I know that he will rise again in the resurrection on the last day."	John 11:24
How did the chief priests and Pharisees react to the news of Lazarus's resurrection?	They gathered a council and planned to put Jesus to death.	John 11:47, 53
What did Jesus say about the kingdom of God to the Pharisees?	It is not coming in ways that can be observed, for it is in the midst of you.	Luke 17:20-21
According to Jesus, what was it like in the days of Lot before fire and sulfur rained from heaven?	They were eating and drinking, buying and selling, planting and building.	Luke 17:28
What did the unrighteous judge in the parable eventually do for the persistent widow?	He gave her justice.	Luke 18:5
What did the disciples rebuke people for bringing to Jesus?	Little children/infants	Matthew 19:13, Luke 18:15
Who did Jesus look at and love before telling him he lacked one thing?	The rich young ruler	Mark 10:21
What did James and John, the sons of Zebedee, ask of Jesus?	To sit, one at his right hand and one at his left, in his glory.	Mark 10:37
What was Zacchaeus's reaction to Jesus's call to come down from the tree?	He hurried and came down and received him joyfully.	Luke 19:6
What did the nobleman's citizens say about him in the parable of the ten minas?	"We do not want this man to reign over us."	Luke 19:14
What was written about Jesus that he found on a young donkey and sat on?	"Fear not, daughter of Zion; behold, your king is coming, sitting on a donkey’s colt!"	John 12:14-15
What did the Pharisees say to one another after the triumphal entry?	"You see that you are gaining nothing. Look, the world has gone after him."	John 12:19
What did Jesus say his Father would do for anyone who serves him?	The Father will honor him.	John 12:26
What did the tenants in the parable say to themselves when they saw the owner's son?	"This is the heir. Come, let us kill him, and the inheritance will be ours."	Mark 12:7
What did Jesus say about paying taxes to Caesar?	"Render to Caesar the things that are Caesar’s, and to God the things that are God’s."	Mark 12:17
How did Jesus answer the Sadducees' question about the resurrection?	He said they were wrong, knowing neither the Scriptures nor the power of God, and that in the resurrection people are like angels and do not marry.	Mark 12:24-25
To love God and neighbor is much more than what, according to the scribe?	All whole burnt offerings and sacrifices.	Mark 12:33
What did Jesus say about the scribes who devour widows' houses and make long prayers?	They will receive the greater condemnation.	Mark 12:40
What did Jesus say would be the beginning of the birth pains?	Wars, rumors of wars, nation rising against nation, earthquakes, and famines.	Matthew 24:6-8
What did Jesus tell his disciples to do when they see the abomination of desolation?	Let those who are in Judea flee to the mountains.	Matthew 24:16
In the parable of the ten virgins, at what time was the cry made, "Here is the bridegroom!"?	Midnight	Matthew 25:6
What did the master say to the servant who earned five more talents?	"Well done, good and faithful servant. You have been faithful over a little; I will set you over much. Enter into the joy of your master."	Matthew 25:21
What did the righteous ask the King at the judgment?	When did they see him hungry, thirsty, a stranger, naked, sick, or in prison and minister to him.	Matthew 25:37-39
In what village was the house of Simon the leper?	Bethany	Mark 14:3
What did Jesus say about the woman who anointed him?	"She has done a beautiful thing to me... she has anointed my body beforehand for burial."	Mark 14:6, 8
What did Satan enter into before he conferred with the chief priests?	Judas called Iscariot	Luke 22:3
What did Jesus earnestly desire to do with his apostles before he suffered?	To eat the Passover with them.	Luke 22:15
Who motioned to the disciple whom Jesus loved to ask who the betrayer was?	Simon Peter	John 13:24
When Peter declared his readiness to go to prison and to death, what did Jesus predict?	That the rooster would not crow that day until Peter denied him three times.	Luke 22:33-34
What did Philip say to Jesus that showed his lack of understanding?	"Lord, show us the Father, and it is enough for us."	John 14:8
What did Jesus say the Spirit of truth would do when he comes?	He will guide you into all the truth.	John 16:13
What did Jesus predict would happen to his disciples' sorrow?	It will turn into joy.	John 16:20
In his prayer for his disciples, what did Jesus say he had given them?	The words the Father gave him, and the glory the Father gave him.	John 17:8, 22
What did Jesus say about the son of destruction?	That he was the only one of the disciples who was lost, that the Scripture might be fulfilled.	John 17:12
What did Jesus say in his prayer that he wanted for his followers?	That they may be with him where he is, to see his glory.	John 17:24
What was the name of the place where Jesus prayed before his arrest?	Gethsemane	Matthew 26:36
What happened to Jesus in Luke's account as he prayed more earnestly in agony?	His sweat became like great drops of blood falling down to the ground.	Luke 22:44
Who struck the servant of the high priest?	One of those who were with Jesus	Matthew 26:51
What was Jesus' question to the crowd who came to arrest him?	"Have you come out as against a robber, with swords and clubs to capture me?"	Matthew 26:55
Who advised the Jews that it would be expedient that one man should die for the people?	Caiaphas	John 18:14
What did the officer who struck Jesus say to him?	"Is that how you answer the high priest?"	John 18:22
What did the men holding Jesus in custody do to him?	They were mocking him as they beat him and blindfolded him.	Luke 22:63-64
What was Peter doing when the servant girl accused him of being with Jesus?	Sitting outside in the courtyard, and later warming himself by a fire.	Matthew 26:69, Mark 14:67
How did the rooster's crowing affect Peter?	He remembered Jesus' words, broke down, and wept bitterly.	Mark 14:72, Matthew 26:75
What did the chief priests say about putting the betrayal money into the treasury?	"It is not lawful to put them into the treasury, since it is blood money."	Matthew 27:6
What was the name of the field bought with the betrayal money?	The Field of Blood	Matthew 27:8
What was Herod's reaction to seeing Jesus?	He was very glad and was hoping to see some sign done by him.	Luke 23:8
What did Herod and his soldiers do to Jesus?	They treated him with contempt and mocked him, arraying him in splendid clothing.	Luke 23:11
Who did Pilate release to the crowd?	Barabbas	Matthew 27:26
What did the soldiers put in Jesus' right hand to mock him?	A reed	Matthew 27:29
Who were the sons of Simon of Cyrene?	Alexander and Rufus	Mark 15:21
What did Jesus say to the women of Jerusalem who were mourning for him?	"Daughters of Jerusalem, do not weep for me, but weep for yourselves and for your children."	Luke 23:28
Who was crucified with Jesus?	Two robbers/criminals	Matthew 27:38
Who mocked Jesus on the cross?	Those who passed by, the chief priests, scribes, elders, and the robbers who were crucified with him.	Matthew 27:39-44
What did one of the criminals on the cross say to Jesus?	"Jesus, remember me when you come into your kingdom."	Luke 23:42
What did the soldiers offer Jesus to drink on the cross?	Sour wine	John 19:29
What happened to the tombs at the moment of Jesus' death?	They were opened, and many bodies of the saints who had fallen asleep were raised.	Matthew 27:52
What did the women who had followed Jesus from Galilee do on the Sabbath after his burial?	They rested according to the commandment.	Luke 23:56
What did the angel at the tomb look like?	His appearance was like lightning, and his clothing white as snow.	Matthew 28:3
What was the disciples' reaction to the report of the two from Emmaus?	They did not believe them.	Mark 16:13
Why were the doors locked where the disciples were assembled on the evening of the resurrection?	For fear of the Jews.	John 20:19
When did the disciple whom Jesus loved write his testimony?	After these events; he is identified as the author of the gospel.	John 21:24
Who did Paul say the risen Christ appeared to, then to all the apostles?	James	1 Corinthians 15:7
How did Jesus bless his disciples at his departure?	He lifted up his hands and blessed them.	Luke 24:50
What did the Word give to all who received him and believed in his name?	The right to become children of God	John 1:12
According to Matthew's genealogy, who was the father of Joseph, the husband of Mary?	Jacob	Matthew 1:16
In Luke's genealogy, who is listed as the son of Adam?	God	Luke 3:38
What did the angel tell Mary her son Jesus would be called?	The Son of the Most High	Luke 1:32
What did Zechariah's prophetic song say the "sunrise shall visit us from on high" to do?	To give light to those who sit in darkness and in the shadow of death, to guide our feet into the way of peace.	Luke 1:78-79
What did the shepherds do after seeing the baby Jesus in the manger?	They made known the saying that had been told them concerning this child.	Luke 2:17
What did the angel of the Lord tell Joseph to do in the dream warning him of Herod?	"Rise, take the child and his mother, and flee to Egypt..."	Matthew 2:13
What did Jesus' mother do with all the things that happened and were said about Jesus?	She treasured them up in her heart.	Luke 2:19, 51
What was the name of the Roman emperor during John the Baptist's ministry?	Tiberius Caesar	Luke 3:1
What prophet did Mark quote at the beginning of his gospel?	Isaiah	Mark 1:2
What did the tempter ask Jesus to command the stones to become?	Loaves of bread	Matthew 4:3
What did the devil promise Jesus if he would fall down and worship him?	All the kingdoms of the world and their glory	Matthew 4:8-9
Who was Andrew's brother?	Simon Peter	John 1:40
How did Jesus describe the wine at the wedding at Cana?	The text says the master of the feast called it "the good wine".	John 2:10
When Jesus said "Destroy this temple, and in three days I will raise it up," what was he speaking about?	The temple of his body	John 2:21
When Jesus heard that John had been arrested, where did he withdraw to?	Galilee	Matthew 4:12
What did Jesus say about a prophet in his hometown?	No prophet is acceptable in his hometown.	Luke 4:24
