Question	Answer	Reference
Why did Jesus' brothers say he should go to Judea for the Feast of Booths?	So that his disciples could see the works he was doing.	John 7:3
What was the crowd's opinion on whether the Christ would come from Galilee?	They were divided, with some saying no, as the Scripture says he comes from Bethlehem.	John 7:41-43
What did the Pharisees accuse the crowd that believed in Jesus of not knowing?	The law	John 7:49
What did Jesus write on the ground?	The text does not say.	John 8:6
What did Jesus say about his judgment?	"my judgment is true, for it is not I alone who judge, but I and the Father who sent me."	John 8:16
What did Jesus say the Jews would do if they were Abraham's children?	The works Abraham did.	John 8:39
What did the Jews say when Jesus claimed not to have a demon?	"Now we know that you have a demon! Abraham died, as did the prophets, yet you say, ‘If anyone keeps my word, he will never taste death.’"	John 8:52
What was Jesus's response when the disciples asked who sinned, the blind man or his parents?	"It was not that this man sinned, or his parents, but that the works of God might be displayed in him."	John 9:3
What did the healed blind man say when asked what Jesus did to him?	"He put mud on my eyes, and I washed, and I see."	John 9:15
What did the healed blind man's neighbors say he kept saying?	"I am the man."	John 9:9
What did Jesus say about a thief and a robber in the sheepfold?	He is one who does not enter by the door but climbs in by another way.	John 10:1
What did Jesus say the good shepherd does for the sheep?	Lays down his life for the sheep.	John 10:11
What was the Jews' reaction to the allegory of the good shepherd?	There was again a division among them.	John 10:19
How many others did the Lord appoint and send out?	Seventy-two	Luke 10:1
What did Jesus say would happen to the "son of peace" in a house?	Your peace will rest upon him.	Luke 10:6
What did Jesus say to do in a town that receives his disciples?	"Heal the sick in it and say to them, ‘The kingdom of God has come near to you.’"	Luke 10:9
What did Jesus say about Sodom on the day of judgment?	It will be more bearable for Sodom than for a town that rejects his disciples.	Luke 10:12
What did the lawyer do to test Jesus?	He stood up and asked him, "Teacher, what shall I do to inherit eternal life?"	Luke 10:25
Who showed mercy on the man who fell among the robbers?	The Samaritan	Luke 10:37
What did Jesus say about one who asks, seeks, and knocks?	"everyone who asks receives, and the one who seeks finds, and to the one who knocks it will be opened."	Luke 11:10
What did some say about Jesus casting out demons?	"He casts out demons by Beelzebul, the prince of demons."	Luke 11:15
What did Jesus say he casts out demons by?	The finger of God	Luke 11:20
When the unclean spirit returns, how many other spirits does it bring with it?	Seven other spirits more evil than itself	Luke 11:26
What did Jesus say about the men of Nineveh?	They will rise up at the judgment with this generation and condemn it, because they repented at the preaching of Jonah.	Luke 11:32
What did the Pharisee neglect while tithing mint and rue and every herb?	Justice and the love of God	Luke 11:42
What did Jesus tell his disciples to beware of first?	"the leaven of the Pharisees, which is hypocrisy"	Luke 12:1
What did Jesus say about those who fear those who can kill the body?	"do not fear those who kill the body, and after that have nothing more that they can do."	Luke 12:4
What did the rich man in the parable say to his soul?	"Soul, you have ample goods laid up for many years; relax, eat, drink, be merry."	Luke 12:19
What did Jesus say about the ravens?	"they neither sow nor reap, they have neither storehouse nor barn, and yet God feeds them."	Luke 12:24
What did Peter ask about the parable of the watchful servants?	"Lord, are you telling this parable for us or for all?"	Luke 12:41
What did Jesus say he came to cast on the earth?	Fire	Luke 12:49
What did the ruler of the synagogue become when Jesus healed on the Sabbath?	Indignant	Luke 13:14
When Jesus said he was the Son of God, what did the Jews accuse him of?	Blasphemy	John 10:33, 36
After the attempt to stone him, where did Jesus go?	Away again across the Jordan to the place where John had been baptizing at first.	John 10:40
What did the people say about John the Baptist when Jesus was in Perea?	"John did no sign, but everything that John said about this man was true."	John 10:41
Who did Jesus say would be last and first?	"some are last who will be first, and some are first who will be last."	Luke 13:30
What did Jesus call Herod?	"that fox"	Luke 13:32
What did Jesus say about his desire to gather Jerusalem's children?	"How often would I have gathered your children together as a hen gathers her brood under her wings, and you were not willing!"	Luke 13:34
What did Jesus say to the guests who chose places of honor at a feast?	"When you are invited... do not sit down in a place of honor"	Luke 14:8
What did the man who bought five yoke of oxen need to do?	Go and examine them.	Luke 14:19
What did Jesus say about those who do not bear their own cross?	They cannot be his disciple.	Luke 14:27
What did Jesus say would happen to salt that has lost its taste?	It is of no use either for the soil or for the manure pile; it is thrown away.	Luke 14:35
What did the older brother hear as he approached the house?	Music and dancing	Luke 15:25
What was the older brother's reaction to the celebration for his brother?	He was angry and refused to go in.	Luke 15:28
What did Jesus say about a servant serving two masters?	"he will hate the one and love the other, or he will be devoted to the one and despise the other."	Luke 16:13
What did the rich man wear?	Purple and fine linen	Luke 16:19
Who carried the poor man Lazarus to Abraham's side?	The angels	Luke 16:22
What did the apostles ask the Lord to do for them?	"Increase our faith!"	Luke 17:5
What did Jesus say a servant should do after plowing or keeping sheep?	Prepare supper for his master.	Luke 17:8
Who did Thomas, called the Twin, say they should go and do with Jesus?	"Let us also go, that we may die with him."	John 11:16
Who came to Martha and Mary to console them?	Many of the Jews	John 11:19
How did Jesus feel when he saw Mary and the Jews weeping?	He was deeply moved in his spirit and greatly troubled.	John 11:33
What was Caiaphas's title the year he prophesied?	High priest	John 11:49
What did Caiaphas say was better for the people?	"that one man should die for the people, not that the whole nation should perish."	John 11:50
Where did Jesus go with his disciples after the decision of the Sanhedrin?	To the region near the wilderness, to a town called Ephraim.	John 11:54
What did Jesus say about two in one bed on the night of his coming?	"One will be taken and the other left."	Luke 17:34
What did the disciples ask Jesus regarding the vultures?	"Where, Lord?"	Luke 17:37
What did Jesus say about the man who exalts himself?	He will be humbled.	Luke 18:14
Why did Moses allow divorce, according to Jesus?	"Because of your hardness of heart"	Matthew 19:8
What did Jesus say about those who are eunuchs for the sake of the kingdom of heaven?	"Let the one who is able to receive this receive it."	Matthew 19:12
What did Jesus say Peter and the other disciples would receive for leaving everything?	A hundredfold, and they will inherit eternal life.	Matthew 19:29
How did the laborers who were hired first feel when they received their wages?	They grumbled at the master of the house.	Matthew 20:11
What was the companion of blind Bartimaeus healed of?	Blindness	Matthew 20:34
What was Zacchaeus's profession?	He was a chief tax collector.	Luke 19:2
What did the nobleman give to each of his ten servants?	Ten minas in total, likely one mina each.	Luke 19:13
What did the servant who earned ten minas receive as a reward?	Authority over ten cities.	Luke 19:17
What did the people do with palm tree branches?	They took them and went out to meet Jesus.	John 12:13
What did the Pharisees say to Jesus during the triumphal entry?	"Teacher, rebuke your disciples."	Luke 19:39
What did Jesus say a grain of wheat must do to bear much fruit?	It must fall into the earth and die.	John 12:24
What did Jesus say about those who hate their life in this world?	They will keep it for eternal life.	John 12:25
What was Isaiah's prophecy about the people's belief?	"Lord, who has believed what he heard from us...?"	John 12:38
Why did some authorities who believed in Jesus not confess it?	For fear of the Pharisees, so that they would not be put out of the synagogue.	John 12:42
What did the son who initially refused to work in the vineyard do?	He afterward changed his mind and went.	Matthew 21:29
What did the king do to the murderers in the parable of the wedding feast?	He sent his troops and destroyed those murderers and burned their city.	Matthew 22:7
What question did a lawyer ask to test Jesus?	"Teacher, which is the great commandment in the Law?"	Matthew 22:36
What are the two greatest commandments?	To love the Lord your God with all your heart, soul, and mind, and to love your neighbor as yourself.	Matthew 22:37-39
What did Jesus say the scribes and Pharisees do with their phylacteries?	They make them broad.	Matthew 23:5
What did Jesus say would not be left on the temple buildings?	One stone upon another.	Matthew 24:2
What did Jesus say about false christs and false prophets?	They will arise and perform great signs and wonders, so as to lead astray, if possible, even the elect.	Matthew 24:24
In the parable of the doorkeeper, when does the master of the house leave?	When he goes on a journey.	Mark 13:34
When does the King separate the sheep from the goats?	When the Son of Man comes in his glory and sits on his glorious throne.	Matthew 25:31-32
How much did Judas Iscariot agree to betray Jesus for?	Thirty pieces of silver	Matthew 26:15
What did Jesus say his blood of the covenant is poured out for?	"for many for the forgiveness of sins"	Matthew 26:28
What did Jesus say about asking in his name?	"Whatever you ask in my name, this I will do, that the Father may be glorified in the Son."	John 14:13
What did Jesus say the world cannot receive?	The Spirit of truth	John 14:17
What did Jesus say about his own words?	"the word that you hear is not mine but the Father’s who sent me."	John 14:24
What did Jesus say is the word that is written in their Law?	"They hated me without a cause."	John 15:25
What will happen when the hour comes for Jesus' disciples?	They will be put out of the synagogues, and some will be killed.	John 16:2
What did Jesus say his disciples would be scattered to?	"each to his own home"	John 16:32
For whose sake did Jesus say he consecrated himself?	For the sake of his disciples.	John 17:19
How many times did Jesus go away to pray in Gethsemane?	Three times	Matthew 26:44
What did Judas do immediately after kissing Jesus?	The text says "Then they came up and laid hands on Jesus and seized him."	Matthew 26:50
What did the young man who followed Jesus do when seized?	He left the linen cloth and ran away naked.	Mark 14:52
What was Jesus's answer to Caiaphas's question, "Are you the Christ, the Son of the Blessed?"	"I am, and you will see the Son of Man seated at the right hand of Power, and coming with the clouds of heaven."	Mark 14:62
What did the bystanders say betrayed Peter?	His accent	Matthew 26:73
What did Judas do with the thirty pieces of silver?	He threw them down into the temple.	Matthew 27:5
What was the accusation the Jews brought against Jesus before Pilate?	"We found this man misleading our nation and forbidding us to give tribute to Caesar, and saying that he himself is Christ, a king."	Luke 23:2
What did Pilate say he would do to Jesus since he found no guilt in him?	"I will therefore punish and release him."	Luke 23:16, 22
Who did the chief priests stir up the crowd to release instead of Jesus?	Barabbas	Mark 15:11
What was the name of the man from Cyrene who was compelled to carry the cross?	Simon	Matthew 27:32
What did Jesus drink on the cross?	He tasted wine mixed with gall but would not drink it; he received sour wine from a sponge.	Matthew 27:34, 48
What happened to the curtain of the temple at Jesus's death?	It was torn in two, from top to bottom.	Matthew 27:51
What did Joseph of Arimathea do with the great stone?	He rolled it to the entrance of the tomb.	Matthew 27:60
What did Mary Magdalene and the other Mary do on the day after the Preparation?	The text states they were sitting opposite the tomb on the day of burial, but does not specify their actions on the next day. Matthew 27:61.
Who was with Mary Magdalene when she bought spices?	Mary the mother of James, and Salome	Mark 16:1
What was the condition of the stone at the tomb when the women arrived?	It had been rolled back—it was very large.	Mark 16:4
What did the angel at the tomb tell the women to do?	"go quickly and tell his disciples that he has risen from the dead"	Matthew 28:7
What was the first thing Peter and John did when they heard Mary's report?	They went out, and they were going toward the tomb.	John 20:3
What did Jesus say to his brothers through the women he met?	"Do not be afraid; go and tell my brothers to go to Galilee, and there they will see me."	Matthew 28:10
What was the name of one of the disciples on the road to Emmaus?	Cleopas	Luke 24:18
How did the two disciples recognize Jesus?	In the breaking of the bread.	Luke 24:35
How many fish did the disciples catch when Jesus told them to cast the net on the right side?	A great quantity, so they were not able to haul it in.	John 21:6
What was the rumor that spread among the brothers about the disciple whom Jesus loved?	That this disciple was not to die.	John 21:23
What was Jesus doing when he blessed his disciples and was carried into heaven?	He was leading them out as far as Bethany.	Luke 24:50-51
In John's prologue, what two things are not the will of man or flesh?	The birth of the children of God.	John 1:13
According to Matthew, who was the father of Salmon?	Nahshon	Matthew 1:4
Who did the angel say was Mary's relative?	Elizabeth	Luke 1:36
What did Mary say about the rich in her song?	"the rich he has sent away empty"	Luke 1:53
What did the angel tell Joseph to name Mary's son?	Jesus	Matthew 1:21
When Jesus was presented in the temple, what was offered as a sacrifice?	A pair of turtledoves, or two young pigeons	Luke 2:24
What did the people do in the region of Ituraea and Trachonitis?	Philip was tetrarch there.	Luke 3:1
What did John the Baptist say would happen to the chaff?	He will burn it with unquenchable fire.	Luke 3:17
What did the devil quote to Jesus during the temptation?	Psalm 91:11-12	Matthew 4:6
In John 1, who did Andrew first find and bring to Jesus?	His own brother Simon.	John 1:41
What was Jesus's response to his mother at the wedding when she said they had no wine?	"Woman, what does this have to do with me? My hour has not yet come."	John 2:4
What was the name of the place where John was baptizing, which had plentiful water?	Aenon near Salim	John 3:23
Who did Jesus say gives the Spirit without measure?	God, to the one he has sent.	John 3:34
What did the Samaritan woman ask Jesus for?	"Sir, give me this water, so that I will not be thirsty or have to come here to draw water."	John 4:15
What did the disciples say to one another when Jesus spoke of his "food"?	"Has anyone brought him something to eat?"	John 4:33
What was the reaction of the disciples to Jesus's teaching?	They were astonished.	Mark 1:22
What did the paralytic do after Jesus healed him?	He rose, picked up his bed, and went out before them all.	Mark 2:12
What did Jesus compare his disciples to when he was with them?	Wedding guests with the bridegroom.	Mark 2:19
Why did the Jews persecute Jesus after he healed the invalid?	Because he was doing these things on the Sabbath.	John 5:16
Who did Jesus say bears witness about him besides John the Baptist?	The works that the Father has given him to accomplish, and the Father himself.	John 5:36-37
Who did Jesus say accuses the Jews to the Father?	Moses	John 5:45
What was the name of the high priest during the time of David's eating the bread of the Presence, according to Mark?	Abiathar	Mark 2:26
Who was called the Zealot?	Simon	Matthew 10:4
What did Jesus say about those who are persecuted?	"Blessed are those who are persecuted for righteousness’ sake, for theirs is the kingdom of heaven."	Matthew 5:10
What did Jesus say about a person who insults his brother?	He will be liable to the council.	Matthew 5:22
What did Jesus say about a person who forces you to go one mile?	Go with him two miles.	Matthew 5:41
What did Jesus say about those who weep now, in the Sermon on the Plain?	"you shall laugh"	Luke 6:21
What did Jesus say a good person produces from the good treasure of his heart?	Good	Luke 6:45
What did the centurion's friends say to Jesus on his behalf?	"Lord, do not trouble yourself, for I am not worthy to have you come under my roof."	Luke 7:6
Where did the widow whose son was raised live?	Nain	Luke 7:11
What were John's disciples doing when he sent them to Jesus?	They were in prison with him.	Matthew 11:2
Who was the wife of Chuza?	Joanna	Luke 8:3
What did the disciples do when Jesus calmed the storm?	They were afraid and marveled.	Luke 8:25
What was the first thing the two blind men said to Jesus?	"Have mercy on us, Son of David."	Matthew 9:27
What did Jesus do before sending out the Twelve?	He gave them instructions.	Matthew 10:5
Where did the feeding of the five thousand take place, according to Luke?	Near a town called Bethsaida.	Luke 9:10
What did the disciples suggest doing with the crowd before the feeding of the five thousand?	Send them away to go into the villages and buy food for themselves.	Matthew 14:15
What did Jesus do after he was told John the Baptist was beheaded?	He withdrew in a boat to a desolate place by himself.	Matthew 14:13
What was the disciples' reaction to Jesus walking on the water?	They were terrified.	Matthew 14:26
What did Jesus say about the plant that his heavenly Father has not planted?	"Every plant that my heavenly Father has not planted will be rooted up."	Matthew 15:13
What did Jesus do for the deaf man with a speech impediment?	He put his fingers into his ears, and after spitting touched his tongue, and said "Ephphatha."	Mark 7:33-34
What did Jesus say when he healed the blind man at Bethsaida the second time?	The text does not record him speaking, only that he laid his hands on his eyes again.	Mark 8:25
What did Jesus say would happen to the Son of Man in his glory?	He would be ashamed of whoever is ashamed of him and his words.	Mark 8:38
What did Peter say at the Transfiguration, according to Mark?	"Rabbi, it is good that we are here. Let us make three tents..."	Mark 9:5
What did Jesus say about one who causes a little one who believes in him to sin?	"it would be better for him to have a great millstone fastened around his neck and to be drowned in the depth of the sea."	Matthew 18:6
What was the amount of the debt the unforgiving servant was forgiven?	Ten thousand talents	Matthew 18:24
What did the people of Jerusalem say about Jesus's origin?	"we know where this man comes from, and when the Christ appears, no one will know where he comes from."	John 7:27
What did Jesus say about the one who speaks on his own authority?	He seeks his own glory.	John 7:18
What did the Pharisees reply to Nicodemus?	"Are you from Galilee too? Search and see that no prophet arises from Galilee."	John 7:52
What was the first thing Jesus said to the woman caught in adultery?	"Woman, where are they? Has no one condemned you?"	John 8:10
What did Jesus say about the truth?	"you will know the truth, and the truth will set you free."	John 8:32
What did Jesus say about the father of lies?	The devil is a liar and the father of lies.	John 8:44
What did the healed blind man's parents fear?	The Jews, because they had agreed that anyone who confessed Jesus to be Christ would be put out of the synagogue.	John 9:22
What did the Pharisees say to the healed blind man?	"You are his disciple, but we are disciples of Moses."	John 9:28
Who did Jesus say enters by the door of the sheepfold?	The shepherd of the sheep	John 10:2
What did Jesus say the thief comes to do?	"to steal and kill and destroy"	John 10:10
What did the lawyer say to justify himself after being told the great commandment?	"And who is my neighbor?"	Luke 10:29
Why did the friend in the parable get up at midnight?	"because of his impudence"	Luke 11:8
What did Jesus say about a kingdom divided?	It is laid waste.	Luke 11:17
What did the lawyers do to the prophets' tombs?	They built them.	Luke 11:47
What did the master find the blessed servants doing when he returned?	He finds them awake.	Luke 12:37
What did the man say was the reason he couldn't come to the great banquet?	"I have married a wife, and therefore I cannot come."	Luke 14:20
What did the master of the house say to the servant after the first guests made excuses?	"Go out quickly to the streets and lanes of the city, and bring in the poor and crippled and blind and lame."	Luke 14:21
What did the older son say to his father about his years of service?	"Look, these many years I have served you, and I never disobeyed your command..."	Luke 15:29
What did Jesus say about it being better for a person than to cause a little one to sin?	"It would be better for him if a millstone were hung around his neck and he were cast into the sea"	Luke 17:2
Who did Jesus say he was in the context of raising the dead?	"I am the resurrection and the life."	John 11:25
What was Jesus's command to the people after Lazarus came out?	"Unbind him, and let him go."	John 11:44
What did Jesus say about what is impossible with man?	"What is impossible with man is possible with God."	Luke 18:27
What did Jesus say about those who followed him receiving in this time and in the age to come?	"many times more in this time, and in the age to come eternal life."	Luke 18:30
What did the master of the vineyard say to the foreman in the evening?	"Call the laborers and pay them their wages, beginning with the last, up to the first."	Matthew 20:8
Why was Zacchaeus rich?	He was a chief tax collector.	Luke 19:2
What was the crowd's reaction when Jesus went to Zacchaeus's house?	They all grumbled.	Luke 19:7
What did Jesus say to the servant who was afraid of his severe master?	"I will condemn you with your own words, you wicked servant!"	Luke 19:22
What happened to the disciples who went with Jesus into the temple?	The text does not specify their actions during the cleansing.	Matthew 21:12
What was the first son's answer when his father asked him to work in the vineyard?	"I will not"	Matthew 21:29
What did the tenants do with the second group of servants?	They did the same to them as the first group.	Matthew 21:36
Who did the king invite to the wedding feast after the first guests refused?	As many as could be found on the main roads, both bad and good.	Matthew 22:9-10
What did the Pharisee's disciples and the Herodians say to Jesus to flatter him?	"Teacher, we know that you are true and teach the way of God truthfully, and you do not care about anyone’s opinion..."	Matthew 22:16
What did the Sadducees say happens in the resurrection?	They neither marry nor are given in marriage, but are like angels in heaven.	Matthew 22:30
What did David say in the psalm Jesus quoted?	"The Lord said to my Lord, 'Sit at my right hand, until I make your enemies your footstool.'"	Luke 20:42-43
What did Jesus say about those who travel to make a single proselyte?	"when he becomes a proselyte, you make him twice as much a child of hell as yourselves."	Matthew 23:15
What did Jesus say about swearing by the gift on the altar?	"whoever swears by the gift that is on the altar, he is bound by his oath."	Matthew 23:18
What did Jesus call the scribes and Pharisees who were like whitewashed tombs?	"Hypocrites! For you are like whitewashed tombs, which outwardly appear beautiful, but within are full of dead people’s bones and all uncleanness."	Matthew 23:27
Who did Jesus say he would send, some of whom would be killed and crucified?	Prophets and wise men and scribes	Matthew 23:34
What did Jesus say would not be known about that day and hour?	The day and hour of his coming.	Matthew 24:36
In the parable of the talents, what did the servant who received two talents do?	He went at once and traded with them, and he made two talents more.	Matthew 25:17
What did the King say to those on his right that they had done for him?	They gave him food, drink, welcomed him, clothed him, and visited him.	Matthew 25:35-36
What was Mary's sister's name?	The text does not specify her name, but identifies her as Mary the wife of Clopas.	John 19:25
Who did the chief priests and officers confer with to betray Jesus?	Judas Iscariot	Luke 22:4
What was Jesus's response to Peter's declaration to go with him to prison and death?	He predicted Peter's three denials before the rooster crowed.	Luke 22:34
What did Jesus say about his departure to the Father?	"If you loved me, you would have rejoiced, because I am going to the Father, for the Father is greater than I."	John 14:28
What did Jesus say is the greatest love?	"Greater love has no one than this, that someone lay down his life for his friends."	John 15:13
What did Jesus say his followers would ask for in his name after he was gone?	"whatever you ask the Father in my name, he may give it to you."	John 15:16
What did Jesus say about his disciples not being of the world?	"because you are not of the world, but I chose you out of the world, therefore the world hates you."	John 15:19
What did Jesus say was the reason he did not say "these things" from the beginning?	"because I was with you"	John 16:4
What did the high priest do when Jesus affirmed he was the Christ?	He tore his robes.	Matthew 26:65
Where did the chief priests and elders take counsel against Jesus?	In the palace of the high priest, Caiaphas.	Matthew 26:3, 27:1
What did the chief priests and elders do when Judas returned the money?	They refused it, saying "What is that to us? See to it yourself."	Matthew 27:4
What was Herod's jurisdiction?	Galilee	Luke 23:7
What was Pilate's question to the crowd when they asked for Barabbas?	"Then what shall I do with Jesus who is called Christ?"	Matthew 27:22
What did the soldiers do to Jesus after stripping him?	They put a scarlet robe on him.	Matthew 27:28
Where was Simon of Cyrene from?	He was coming in from the country.	Mark 15:21
What did Jesus say as they were crucifying him, according to Luke?	"Father, forgive them, for they know not what they do."	Luke 23:34
What were the last words of Jesus on the cross, according to Luke?	"Father, into your hands I commit my spirit!"	Luke 23:46
What did the mother of the sons of Zebedee do at the crucifixion?	She was looking on from a distance.	Matthew 27:56
Why did one of the soldiers pierce Jesus' side?	The text does not state a reason, only that they saw he was already dead and did not break his legs.	John 19:33-34
What was the burial custom of the Jews mentioned in John?	To bind the body in linen cloths with spices.	John 19:40
What did the chief priests say to Pilate about Jesus?	"Sir, we remember how that impostor said, while he was still alive, ‘After three days I will rise.’"	Matthew 27:63
Who sat on the stone that was rolled away?	An angel of the Lord	Matthew 28:2
What did the young man in the tomb say to the women?	"Do not be alarmed. You seek Jesus of Nazareth, who was crucified. He has risen; he is not here."	Mark 16:6
Who was with Mary Magdalene and Mary the mother of James when they told the apostles?	Joanna and the other women with them.	Luke 24:10
Why did the other disciple not go into the tomb at first?	The text does not say.	John 20:5
What did the disciples say to one another after Jesus vanished?	"Did not our hearts burn within us while he talked to us on the road...?"	Luke 24:32
What did the disciples on the road to Emmaus tell the rest?	What had happened on the road, and how he was known to them in the breaking of the bread.	Luke 24:35
What did Jesus say about a spirit?	"a spirit does not have flesh and bones as you see that I have."	Luke 24:39
What did Jesus say to Peter after the resurrection and the miraculous catch of fish?	He asked him three times, "Simon, son of John, do you love me?"	John 21:15-17
What did Jesus say the disciples would be clothed with from on high?	Power	Luke 24:49
What were the disciples doing when Jesus blessed them and was taken up?	They were in Bethany.	Luke 24:50
What was the name of the father of Jesse?	Obed	Matthew 1:5
What did Mary magnify in her song?	The Lord	Luke 1:46
What did the angel tell Joseph about the name Jesus?	"for he will save his people from their sins."	Matthew 1:21
Who was the tetrarch of Galilee during John's ministry?	Herod	Luke 3:1
What was the tempter's first question to Jesus in the wilderness?	"If you are the Son of God, command these stones to become loaves of bread."	Matthew 4:3
What did Jesus say the Spirit does on whom he descends and remains?	He is the one who baptizes with the Holy Spirit.	John 1:33
What was the reaction of the disciples when Jesus manifested his glory at Cana?	They believed in him.	John 2:11
What was the disciple's name who asked "How can a man be born when he is old?"	Nicodemus	John 3:4
What did Jesus say about those who believe in him not being condemned?	"Whoever believes in him is not condemned..."	John 3:18
What did the disciples do with the leftover food after feeding the five thousand?	They took up twelve baskets full of the broken pieces.	Matthew 14:20
What did Jesus tell the healed leper to show himself to?	The priest	Matthew 8:4
Who did Jesus eat with at Matthew's house?	Many tax collectors and sinners.	Matthew 9:10
What did Jesus say about new cloth on an old garment?	"the patch tears away from the garment, and a worse tear is made."	Matthew 9:16
What did Jesus say about his own testimony if he alone bears witness?	"my testimony is not true"	John 5:31
What did Jesus say about Moses's writings?	"if you do not believe his writings, how will you believe my words?"	John 5:47
What was the name of the apostle who was from Cana in Galilee?	Nathanael	John 21:2
What did Jesus say about a lamp being put under a basket?	That it is not, but on a stand.	Mark 4:21
What did Jesus say about those who are well?	"Those who are well have no need of a physician, but those who are sick."	Mark 2:17
What was the name of the woman from whom seven demons had gone out?	Mary, called Magdalene	Luke 8:2
Who was Judas Iscariot's father?	The text identifies him as Judas the son of Simon Iscariot.	John 6:71
How much money did the disciples suggest would not be enough to feed the five thousand?	Two hundred denarii	John 6:7
What did Jesus' disciples say to him when they saw him walking on the sea?	"It is a ghost!"	Matthew 14:26
What did Peter say when he saw the wind while walking on the water?	He was afraid and cried out, "Lord, save me."	Matthew 14:30
